epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.277,1.67202,2.30777,1.05902,0.65306,0.44354,0.48536,0.26194,1.58664,1.19951,1.02722,0.00066626,0.00066626,0.00066626
2,398.183,1.64429,1.4664,1.05814,0.69795,0.45611,0.51788,0.26718,1.64405,1.18195,1.04304,0.00126695,0.00126695,0.00126695
3,593.689,1.61847,1.40353,1.04945,0.66719,0.47563,0.52639,0.28358,1.55243,1.15903,1.01466,0.00180163,0.00180163,0.00180163
4,785.074,1.58187,1.3429,1.03481,0.68618,0.48926,0.54679,0.31071,1.46487,1.09196,0.98962,0.001703,0.001703,0.001703
5,979.331,1.54882,1.29329,1.01816,0.68512,0.51101,0.55656,0.31391,1.47116,1.04834,0.98904,0.001604,0.001604,0.001604
6,1157.77,1.42574,1.20622,1.0273,0.7032,0.48971,0.55142,0.29823,1.53976,1.07435,1.00845,0.001505,0.001505,0.001505
7,1333.69,1.40043,1.17071,1.01633,0.71617,0.50034,0.56387,0.31886,1.4805,1.03331,0.99673,0.001406,0.001406,0.001406
8,1510.18,1.37885,1.13118,1.01093,0.73144,0.50446,0.57414,0.31763,1.48227,1.00955,0.99122,0.001307,0.001307,0.001307
9,1687.72,1.36493,1.1072,1.00361,0.7199,0.51566,0.57953,0.32665,1.45128,1.00254,0.97959,0.001208,0.001208,0.001208
10,1864.69,1.34851,1.08401,0.9973,0.719,0.52766,0.58755,0.3303,1.47654,0.98233,0.98817,0.001109,0.001109,0.001109
11,2042.02,1.33133,1.06747,0.99353,0.72461,0.53497,0.59716,0.34806,1.41645,0.95847,0.97105,0.00101,0.00101,0.00101
12,2218.92,1.31406,1.04838,0.98951,0.74535,0.52985,0.60459,0.36065,1.32858,0.93253,0.94637,0.000911,0.000911,0.000911
13,2396.41,1.29831,1.02592,0.98065,0.74105,0.54011,0.60595,0.35629,1.35223,0.93163,0.95186,0.000812,0.000812,0.000812
14,2573.41,1.29517,1.01676,0.978,0.73832,0.53794,0.60638,0.36064,1.36245,0.91881,0.95489,0.000713,0.000713,0.000713
15,2749.93,1.2811,0.99272,0.97289,0.75269,0.53897,0.61251,0.36388,1.34783,0.90935,0.95135,0.000614,0.000614,0.000614
16,2926.44,1.26497,0.97539,0.96634,0.73583,0.55708,0.62013,0.37197,1.32577,0.8883,0.94354,0.000515,0.000515,0.000515
17,3103.33,1.25672,0.96021,0.96456,0.75422,0.556,0.62816,0.38857,1.25983,0.86201,0.93264,0.000416,0.000416,0.000416
18,3279.95,1.24049,0.93985,0.95964,0.75853,0.55573,0.63214,0.38656,1.28373,0.85901,0.93299,0.000317,0.000317,0.000317
19,3457.67,1.23838,0.92802,0.95625,0.75717,0.55749,0.63087,0.38687,1.27503,0.85156,0.93036,0.000218,0.000218,0.000218
20,3634.91,1.21697,0.9113,0.95111,0.75831,0.56206,0.63774,0.38862,1.27451,0.84013,0.92712,0.000119,0.000119,0.000119
