epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.687,1.3341,1.97783,0.95035,0.69626,0.45989,0.51622,0.30988,1.28413,1.16617,0.94042,0.00066626,0.00066626,0.00066626
2,375.834,1.32376,1.17963,0.95535,0.69447,0.48949,0.54644,0.33769,1.2387,1.06112,0.94246,0.00126695,0.00126695,0.00126695
3,552.827,1.29889,1.10937,0.94975,0.72326,0.49829,0.56147,0.34919,1.22448,1.04237,0.92952,0.00180163,0.00180163,0.00180163
4,728.92,1.27682,1.07507,0.94563,0.72301,0.5032,0.57455,0.36743,1.19131,0.97167,0.92781,0.001703,0.001703,0.001703
5,904.707,1.24081,1.02332,0.93331,0.73143,0.51822,0.59331,0.38217,1.15596,0.93234,0.91914,0.001604,0.001604,0.001604
6,1081.65,1.20866,0.97838,0.92273,0.73606,0.52429,0.59822,0.39359,1.12239,0.89476,0.90786,0.001505,0.001505,0.001505
7,1258.92,1.19551,0.96789,0.91803,0.72775,0.5448,0.60963,0.40297,1.11301,0.87606,0.90799,0.001406,0.001406,0.001406
8,1435.46,1.17773,0.93706,0.91282,0.74937,0.54971,0.61877,0.40895,1.1007,0.85516,0.89805,0.001307,0.001307,0.001307
9,1612.06,1.16677,0.91894,0.90954,0.76044,0.5467,0.6309,0.41668,1.09291,0.83439,0.89303,0.001208,0.001208,0.001208
10,1788.64,1.16531,0.9047,0.90846,0.75163,0.55577,0.62915,0.41817,1.07799,0.82608,0.89108,0.001109,0.001109,0.001109
11,1967.11,1.12247,0.89047,0.90516,0.74962,0.56206,0.63144,0.41971,1.08404,0.82916,0.89367,0.00101,0.00101,0.00101
12,2142.25,1.11434,0.86417,0.90391,0.75446,0.56115,0.63393,0.42153,1.07317,0.82519,0.89009,0.000911,0.000911,0.000911
13,2317.76,1.1025,0.85025,0.8995,0.74919,0.57097,0.63722,0.426,1.06476,0.80575,0.8905,0.000812,0.000812,0.000812
14,2492.45,1.08474,0.83045,0.89649,0.75201,0.57829,0.64963,0.43103,1.06042,0.78886,0.88489,0.000713,0.000713,0.000713
15,2668.24,1.0796,0.82153,0.89127,0.76604,0.57365,0.65206,0.43791,1.04036,0.77167,0.88226,0.000614,0.000614,0.000614
16,2843.98,1.07233,0.80051,0.88965,0.77656,0.57555,0.65401,0.4388,1.04412,0.76817,0.88199,0.000515,0.000515,0.000515
17,3018.85,1.05896,0.78164,0.88555,0.76991,0.58034,0.6575,0.43937,1.03737,0.75885,0.8812,0.000416,0.000416,0.000416
18,3193.83,1.04583,0.76991,0.88194,0.76939,0.58985,0.66361,0.44568,1.03015,0.75217,0.87958,0.000317,0.000317,0.000317
19,3369.04,1.04203,0.75482,0.88011,0.7671,0.5888,0.66486,0.44788,1.0198,0.74727,0.87815,0.000218,0.000218,0.000218
20,3544.58,1.02739,0.73633,0.87737,0.76895,0.59374,0.66757,0.44949,1.01639,0.7391,0.87739,0.000119,0.000119,0.000119
